Title,Author,First publish Year
The Lord of the rings location guidebook,Ian Brodie,2003
Reading The lord of the rings,Robert Eaglestone,2006
The QPB companion to The Lord of the rings,Brandon Geist,2001
Tolkien and the Lord of the rings,Colin Duriez,2001
"The Lord of the Rings, The Hobbit",Coles Editorial Board,2003
Tolkien's The Lord of the Rings,"Stratford Caldecott, Thomas Honegger",2008
Tolkien,"Lin Carter, Lyn Carter",1969
Understanding The lord of the rings,"Ted Hodges, Donato Giancola",2003
The Lord of the Rings - War of the Ring,Mark Cohen,2003
History of the Lord of the Rings,Christopher Tolkien,2002
The Lord of the Rings,David Brawn,2002
The Lord of the Rings. Appendices,J.R.R. Tolkien,1999
The Lord of the Rings The Fellowship of the Ring Photo Guide,Alison Sage,2001
The Lord of the Rings Box Set,N/A,N/A
Who is the Lord of the Ring?,Ray Comfort,2002
The Art of The Lord of the Rings,Gary Russell,2004
Discovering the Lord of the Rings World : Questions and Answers on All Things the Lord of the Rings,Gilbert Cicconi,2021
"Myth, Symbol & religion in The lord of the rings",Sandra Miesel,1973
Essays on the Lord of the Rings,Patrick McEvoy-Halston,2017
The Lord of The Rings - A Celebration,N/A,N/A
Friendship in the Lord of the Rings,Cristina Casagrande,2022
The Lord of the Rings [Japanese Edition],Yoshida Hiroshi,2002
Tolkien,A. E. Dyson,1985
The Lord of the Rings Big Note,Carol Matz,2010
"Willie DeWit, the lord of the ring",Michael Beaudin,1984
THE LORD OF THE RINGS - DE REISGENOTEN,N/A,N/A
THE LORD OF THE RINGS - DE REISGENOTEN,N/A,N/A
THE LORD OF THE RINGS - DE REISGENOTEN,N/A,N/A
The Lord of the Rings Journal (Black),Cedco Publishing,2002
The Lord of the Rings Journal (Green),Cedco Publishing,2002
The lord of the rings,Andy Serkis,2003
Form and content in The Lord of the rings,Ruth Elizabeth McLellan,1968
